id,folder,w,h,category_guess,name
1,tiles,64,64,tile,
2,tiles,64,64,tile,
3,tiles,64,64,tile,
4,tiles,64,64,tile,
5,tiles,64,64,tile,
6,tiles,64,64,tile,
7,tiles,64,64,tile,
8,tiles,64,64,tile,
9,tiles,64,64,tile,
10,tiles,64,64,tile,
11,tiles,64,64,tile,
12,tiles,64,64,tile,
13,tiles,64,64,tile,
14,tiles,64,64,tile,
15,tiles,64,64,tile,
16,tiles,64,64,tile,
17,tiles,64,64,tile,
18,tiles,64,64,tile,
19,tiles,64,64,tile,
20,tiles,64,64,tile,
21,tiles,64,64,tile,
22,tiles,64,64,tile,
23,tiles,64,64,tile,
24,tiles,64,64,tile,
25,tiles,64,64,tile,
26,tiles,64,64,tile,
27,tiles,64,64,tile,
28,tiles,64,64,tile,
29,tiles,64,64,tile,
30,tiles,64,64,tile,
31,tiles,64,64,tile,
32,tiles,64,64,tile,
33,tiles,64,64,tile,
34,tiles,64,64,tile,
35,tiles,64,64,tile,
36,tiles,64,64,tile,
37,tiles,64,64,tile,
38,tiles,64,64,tile,
39,tiles,64,64,tile,
40,tiles,64,64,tile,
41,tiles,64,64,tile,
42,tiles,64,64,tile,
43,tiles,64,64,tile,
44,tiles,64,64,tile,
45,tiles,64,64,tile,
46,tiles,64,64,tile,
47,tiles,64,64,tile,
48,tiles,64,64,tile,
49,tiles,64,64,tile,
50,tiles,64,64,tile,
51,tiles,64,64,tile,
52,tiles,64,64,tile,
53,tiles,64,64,tile,
54,tiles,64,64,tile,
55,tiles,64,64,tile,
56,tiles,64,64,tile,
57,tiles,64,64,tile,
58,tiles,64,64,tile,
59,tiles,64,64,tile,
60,tiles,64,64,tile,
61,tiles,64,64,tile,
62,tiles,64,64,tile,
63,tiles,64,64,tile,
64,tiles,64,64,tile,
65,tiles,64,64,tile,
66,tiles,64,64,tile,
67,tiles,64,64,tile,
68,tiles,64,64,tile,
69,tiles,64,64,tile,
70,tiles,64,64,tile,
71,tiles,64,64,tile,
72,tiles,64,64,tile,
73,tiles,64,64,tile,
74,tiles,64,64,tile,
75,tiles,64,64,tile,
76,tiles,64,64,tile,
77,tiles,64,64,tile,
78,tiles,64,64,tile,
79,tiles,64,64,tile,
80,tiles,64,64,tile,
81,tiles,64,64,tile,
82,tiles,64,64,tile,
83,tiles,64,64,tile,
84,tiles,64,64,tile,
85,tiles,64,64,tile,
86,tiles,64,64,tile,
87,tiles,64,64,tile,
88,tiles,64,64,tile,
89,tiles,64,64,tile,
90,tiles,64,64,tile,
91,tiles,64,64,tile,
92,tiles,64,64,tile,
93,tiles,64,64,tile,
94,tiles,64,64,tile,
95,tiles,64,64,tile,
96,tiles,64,64,tile,
97,tiles,64,64,tile,
98,tiles,64,64,tile,
99,tiles,64,64,tile,
100,tiles,64,64,tile,
101,tiles,64,64,tile,
102,tiles,64,64,tile,
103,tiles,64,64,tile,
104,tiles,64,64,tile,
105,tiles,64,64,tile,
106,tiles,64,64,tile,
107,tiles,64,64,tile,
108,tiles,64,64,tile,
109,tiles,64,64,tile,
110,tiles,64,64,tile,
111,tiles,64,64,tile,
112,tiles,64,64,tile,
113,tiles,64,64,tile,
114,tiles,64,64,tile,
115,tiles,64,64,tile,
116,tiles,64,64,tile,
117,tiles,64,64,tile,
118,tiles,64,64,tile,
119,tiles,64,64,tile,
120,tiles,64,64,tile,
121,tiles,64,64,tile,
122,tiles,64,64,tile,
123,tiles,64,64,tile,
124,tiles,64,64,tile,
125,tiles,64,64,tile,
126,tiles,64,64,tile,
127,tiles,64,64,tile,
128,tiles,64,64,tile,
129,tiles,64,64,tile,
130,tiles,64,64,tile,
131,tiles,64,64,tile,
132,tiles,64,64,tile,
133,tiles,64,64,tile,
134,tiles,64,64,tile,
135,tiles,64,64,tile,
136,tiles,64,64,tile,
137,tiles,64,64,tile,
138,tiles,64,64,tile,
139,tiles,64,64,tile,
140,tiles,64,64,tile,
141,tiles,64,64,tile,
142,tiles,64,64,tile,
143,tiles,64,64,tile,
144,tiles,64,64,tile,
145,tiles,64,64,tile,
146,tiles,64,64,tile,
147,tiles,64,64,tile,
148,tiles,64,64,tile,
149,tiles,64,64,tile,
150,tiles,64,64,tile,
151,tiles,64,64,tile,
152,tiles,64,64,tile,
153,tiles,64,64,tile,
154,tiles,64,64,tile,
155,tiles,64,64,tile,
156,tiles,64,64,tile,
157,tiles,64,64,tile,
158,tiles,64,64,tile,
159,tiles,64,64,tile,
160,tiles,64,64,tile,
161,tiles,64,64,tile,
162,tiles,64,64,tile,
163,tiles,64,64,tile,
164,tiles,64,64,tile,
165,tiles,64,64,tile,
166,tiles,64,64,tile,
167,tiles,64,64,tile,
168,tiles,64,64,tile,
169,tiles,64,64,tile,
170,tiles,64,64,tile,
171,tiles,64,64,tile,
172,tiles,64,64,tile,
173,tiles,64,64,tile,
174,tiles,64,64,tile,
175,tiles,64,64,tile,
176,tiles,64,64,tile,
177,tiles,64,64,tile,
178,tiles,64,64,tile,
179,tiles,64,64,tile,
180,tiles,64,64,tile,
181,tiles,64,64,tile,
182,tiles,64,64,tile,
183,tiles,64,64,tile,
184,tiles,64,64,tile,
185,tiles,64,64,tile,
186,tiles,64,64,tile,
187,tiles,64,64,tile,
188,tiles,64,64,tile,
189,tiles,64,64,tile,
190,tiles,64,64,tile,
191,tiles,64,64,tile,
192,tiles,64,64,tile,
193,tiles,64,64,tile,
194,tiles,64,64,tile,
195,tiles,64,64,tile,
196,tiles,64,64,tile,
197,tiles,64,64,tile,
198,tiles,64,64,tile,
199,tiles,64,64,tile,
200,tiles,64,64,tile,
201,tiles,64,64,tile,
202,tiles,64,64,tile,
203,tiles,64,64,tile,
204,tiles,64,64,tile,
205,tiles,64,64,tile,
206,tiles,64,64,tile,
207,tiles,64,64,tile,
208,tiles,64,64,tile,
209,tiles,64,64,tile,
210,tiles,64,64,tile,
211,tiles,64,64,tile,
212,tiles,64,64,tile,
213,tiles,64,64,tile,
214,tiles,64,64,tile,
215,tiles,64,64,tile,
216,tiles,64,64,tile,
217,tiles,64,64,tile,
218,tiles,64,64,tile,
219,tiles,64,64,tile,
220,tiles,64,64,tile,
221,tiles,64,64,tile,
222,tiles,64,64,tile,
223,tiles,64,64,tile,
224,tiles,64,64,tile,
225,tiles,64,64,tile,
226,tiles,64,64,tile,
227,tiles,64,64,tile,
228,tiles,64,64,tile,
229,tiles,64,64,tile,
230,tiles,64,64,tile,
231,tiles,64,64,tile,
232,tiles,64,64,tile,
233,tiles,64,64,tile,
234,tiles,64,64,tile,
235,tiles,64,64,tile,
236,tiles,64,64,tile,
237,tiles,64,64,tile,
238,tiles,64,64,tile,
239,tiles,64,64,tile,
240,tiles,64,64,tile,
241,tiles,64,64,tile,
242,tiles,64,64,tile,
243,tiles,64,64,tile,
244,tiles,64,64,tile,
245,tiles,64,64,tile,
246,tiles,64,64,tile,
247,tiles,64,64,tile,
248,tiles,64,64,tile,
249,tiles,64,64,tile,
250,tiles,64,64,tile,
251,tiles,64,64,tile,
252,tiles,64,64,tile,
253,tiles,64,64,tile,
254,tiles,64,64,tile,
255,tiles,64,64,tile,
256,tiles,64,64,tile,
257,tiles,64,64,tile,
258,tiles,64,64,tile,
259,tiles,64,64,tile,
260,tiles,64,64,tile,
261,tiles,64,64,tile,
262,tiles,64,64,tile,
263,tiles,64,64,tile,
264,tiles,64,64,tile,
265,tiles,64,64,tile,
266,tiles,64,64,tile,
267,tiles,64,64,tile,
268,tiles,64,64,tile,
269,tiles,64,64,tile,
270,tiles,64,64,tile,
271,tiles,64,64,tile,
272,tiles,64,64,tile,
273,tiles,64,64,tile,
274,tiles,64,64,tile,
275,tiles,64,64,tile,
276,tiles,64,64,tile,
277,tiles,64,64,tile,
278,tiles,64,64,tile,
279,tiles,64,64,tile,
280,tiles,64,64,tile,
281,tiles,64,64,tile,
282,tiles,64,64,tile,
283,tiles,64,64,tile,
284,tiles,64,64,tile,
285,tiles,64,64,tile,
286,tiles,64,64,tile,
287,tiles,64,64,tile,
288,tiles,64,64,tile,
289,tiles,64,64,tile,
290,tiles,64,64,tile,
