name,source,solid
grass,assets/named/tiles/grass.png,0
road_h,assets/named/tiles/road_h.png,0
road_v,assets/named/tiles/road_v.png,0
road_cross,assets/named/tiles/road_cross.png,0
pavement,assets/named/tiles/pavement.png,0
water,assets/named/tiles/water.png,1
building_a,assets/named/tiles/building_a.png,1
building_b,assets/named/tiles/building_b.png,1
cn_facade_a,assets/named/tiles/cn_facade_a.png,1
cn_facade_b,assets/named/tiles/cn_facade_b.png,1
cn_sign,assets/named/tiles/cn_sign.png,1
police_facade,assets/named/tiles/police_facade.png,1
police_sign,assets/named/tiles/police_sign.png,1
police_door,assets/named/tiles/police_door.png,0
hosp_facade,assets/named/tiles/hosp_facade.png,1
hosp_sign,assets/named/tiles/hosp_sign.png,1
hosp_door,assets/named/tiles/hosp_door.png,0
fire_facade,assets/named/tiles/fire_facade.png,1
fire_sign,assets/named/tiles/fire_sign.png,1
fire_door,assets/named/tiles/fire_door.png,0
port_facade_a,assets/named/tiles/port_facade_a.png,1
port_facade_b,assets/named/tiles/port_facade_b.png,1
port_sign,assets/named/tiles/port_sign.png,1
cons_facade_a,assets/named/tiles/cons_facade_a.png,1
cons_facade_b,assets/named/tiles/cons_facade_b.png,1
cons_sign,assets/named/tiles/cons_sign.png,1
junk_facade_a,assets/named/tiles/junk_facade_a.png,1
junk_facade_b,assets/named/tiles/junk_facade_b.png,1
junk_sign,assets/named/tiles/junk_sign.png,1
sand,assets/named/tiles/sand.png,0
dock,assets/named/tiles/dock.png,0
junk_ground,assets/named/tiles/junk_ground.png,0
junk_fence,assets/named/tiles/junk_fence.png,1
junk_wreck,assets/named/tiles/junk_wreck.png,1
junk_crane,assets/named/tiles/junk_crane.png,1
cons_ground,assets/named/tiles/cons_ground.png,0
cons_fence,assets/named/tiles/cons_fence.png,1
cons_frame,assets/named/tiles/cons_frame.png,1
cons_crane,assets/named/tiles/cons_crane.png,1
plan_facade,assets/named/tiles/plan_facade.png,1
plan_sign,assets/named/tiles/plan_sign.png,1
plan_door,assets/named/tiles/plan_door.png,0
gar_facade,assets/named/tiles/gar_facade.png,1
gar_sign,assets/named/tiles/gar_sign.png,1
gar_door,assets/named/tiles/gar_door.png,0
bar_facade,assets/named/tiles/bar_facade.png,1
bar_sign,assets/named/tiles/bar_sign.png,1
bar_door,assets/named/tiles/bar_door.png,0
bur_facade,assets/named/tiles/bur_facade.png,1
bur_sign,assets/named/tiles/bur_sign.png,1
bur_door,assets/named/tiles/bur_door.png,0
cas_facade,assets/named/tiles/cas_facade.png,1
cas_sign,assets/named/tiles/cas_sign.png,1
cas_door,assets/named/tiles/cas_door.png,0
com_facade,assets/named/tiles/com_facade.png,1
com_sign,assets/named/tiles/com_sign.png,1
com_door,assets/named/tiles/com_door.png,0
